Date,CU_Cathode_FM,CU_Cathode_US_DOM,CU_Cathode_RSA,CU_Cathode_Rotterdam,CU_Cathode_Germany,CU_Cathode_Shangai,CU_Cathode_Japan,CU_Cathode_Taiwan,CU_Cathode_Seasia,Currency,Unit_of_Measure
2005-05-31,0.00078,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-01,0.0008,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-02,0.00081,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-03,0.00083,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-06,0.00083,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-07,0.00083,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-08,0.00083,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-09,0.00083,0.00069,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-10,0.00085,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-13,0.00084,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-14,0.00082,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-15,0.00083,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-16,0.00085,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-17,0.00088,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-20,0.00087,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-21,0.00087,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-22,0.00087,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-23,0.00087,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-24,0.00087,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-27,0.00087,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-28,0.00083,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-29,0.00083,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-06-30,0.00081,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-01,0.0008,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-04,0.0008,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-05,0.00082,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-06,0.00083,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-07,0.00084,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-08,0.00084,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-11,0.00084,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-12,0.00083,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-13,0.00084,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-14,0.00084,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-15,0.00085,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-18,0.00085,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-19,0.00086,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-20,0.00086,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-21,0.00085,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-22,0.00086,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-25,0.00086,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-26,0.00087,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-27,0.00087,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-28,0.00088,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-07-29,0.00088,0.00074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-08-01,0.00089,0.00074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-08-02,0.00088,0.00074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-08-03,0.00089,0.00074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-08-04,0.00088,0.00074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-08-05,0.00088,0.00074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-08-08,0.00088,0.00074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-08-09,0.00086,0.00074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-08-10,0.00088,0.00074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-08-11,0.00089,0.00074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-08-12,0.0009,0.00074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-08-15,0.00092,0.00074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-08-16,0.00092,0.00074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-08-17,0.00089,0.00074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-08-18,0.00089,0.00074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2005-08-19,0.00089,0.00074,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-09-12,0.00173,0.00075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-09-13,0.00173,0.00075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-09-14,0.00172,0.00075,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-09-15,0.00169,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-09-18,0.00174,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-09-19,0.00172,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-09-20,0.00172,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-09-21,0.00174,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-09-22,0.00175,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-09-25,0.00176,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-09-26,0.00176,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-09-27,0.00177,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-09-28,0.00174,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-09-29,0.00176,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-02,0.00175,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-03,0.00168,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-04,0.00163,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-05,0.00168,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-06,0.00172,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-09,0.00174,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-10,0.00172,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-11,0.00173,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-12,0.00172,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-13,0.00173,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-16,0.00181,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-17,0.00178,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-18,0.00177,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-19,0.00178,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-20,0.00175,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-23,0.00175,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-24,0.00173,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-25,0.00173,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-26,0.00172,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-27,0.00173,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-30,0.0017,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-10-31,0.0017,0.00072,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
2006-11-01,0.00165,0.00068,NULL,NULL,NULL,NULL,NULL,NULL,NULL,us dollar,tonne
